gameID,Home_Predicted_Score,Home_Actual_Score,Away_Predicted_Score,Away_Actual_Score,spread,total,Predicted_Winner,Actual_Winner,Predicted_Spread,Actual_Spread,Predicted_Total,Actual_Total
202303270IND,124.02,104,119.91,127,7.5,238.0,home,away,-4.109999999999999,23,243.93,231
202212280GSW,117.17,112,119.61,107,4.5,232.5,away,home,2.4399999999999977,-5,236.78,219
202401290BOS,118.71,118,111.26,112,-9.5,234.5,home,home,-7.449999999999989,-6,229.97,230
202312110NOP,112.42,121,112.78,107,-4.0,222.0,away,home,0.35999999999999943,-14,225.2,228
202211050NYK,116.66,118,112.23,133,4.0,227.0,home,away,-4.429999999999993,15,228.89,251
202404120POR,108.12,107,117.52,116,6.0,218.0,away,away,9.399999999999991,9,225.64,223
202112120NYK,109.06,97,108.68,112,6.0,216.0,home,away,-0.37999999999999545,15,217.74,209
202201310CLE,107.16,93,105.35,90,-4.5,207.5,home,home,-1.8100000000000023,-3,212.51,183
202210180BOS,108.59,126,107.33,117,-3.0,216.5,home,home,-1.2600000000000051,-9,215.92000000000002,243
202203090DET,110.92,108,110.33,114,6.5,228.5,home,away,-0.5900000000000034,6,221.25,222
202203180NYK,113.73,100,110.48,97,-6.5,224.5,home,home,-3.25,-3,224.21,197
202204030SAS,123.13,113,113.19,92,-13.5,229.5,home,home,-9.939999999999998,-21,236.32,205
202301080DET,113.44,111,114.97,123,5.5,229.5,away,away,1.5300000000000011,12,228.41,234
202303010DET,108.93,115,113.31,117,7.0,222.5,away,away,4.3799999999999955,2,222.24,232
202211070DET,113.4,112,113.19,103,4.5,225.5,home,home,-0.21000000000000796,-9,226.59,215
202212090DAL,115.24,105,109.35,106,1.0,224.5,home,away,-5.890000000000001,1,224.58999999999997,211
202112260LAC,103.87,100,105.92,103,3.5,212.0,away,away,2.049999999999997,3,209.79000000000002,203
202403250CLE,110.43,115,107.57,92,-11.0,206.0,home,home,-2.8600000000000136,-23,218.0,207
202201070LAL,111.69,134,107.6,118,-0.5,231.0,home,home,-4.090000000000003,-16,219.29,252
202310270CLE,108.53,105,107.87,108,-2.5,225.5,home,away,-0.6599999999999966,3,216.4,213
202301120BRK,119.32,98,111.71,109,1.0,224.5,home,away,-7.609999999999999,11,231.02999999999997,207
202203090HOU,114.19,139,113.3,130,9.5,238.5,home,home,-0.8900000000000006,-9,227.49,269
202304050ATL,124.48,134,119.12,116,-10.5,235.5,home,home,-5.359999999999999,-18,243.60000000000002,250
202311060OKC,114.32,126,114.76,117,-3.5,238.5,away,home,0.44000000000001194,-9,229.07999999999998,243
202403100LAL,117.36,120,114.77,109,-5.0,226.0,home,home,-2.5900000000000034,-11,232.13,229
202312130WAS,115.52,122,119.35,142,7.0,240.0,away,away,3.8299999999999983,20,234.87,264
202403040MIL,114.71,113,106.01,106,3.0,222.5,home,home,-8.699999999999989,-7,220.72,219
202403230CHI,114.23,113,118.76,124,5.0,219.0,away,away,4.530000000000001,11,232.99,237
202301010DEN,119.27,123,113.33,111,4.0,234.0,home,home,-5.939999999999998,-12,232.6,234
202311010TOR,114.9,130,110.55,111,4.5,223.5,home,home,-4.3500000000000085,-19,225.45,241
202402270CLE,112.2,121,110.3,119,-4.0,231.5,home,home,-1.9000000000000057,-2,222.5,240
202310250ORL,116.72,116,110.3,86,-4.5,219.5,home,home,-6.420000000000002,-30,227.01999999999998,202
202204050MIA,117.47,144,110.52,115,-4.5,225.5,home,home,-6.950000000000003,-29,227.99,259
202402110MIA,111.68,106,120.24,110,8.0,225.0,away,away,8.559999999999988,4,231.92000000000002,216
202212230BOS,112.82,121,109.49,109,-10.5,226.5,home,home,-3.3299999999999983,-12,222.31,230
202312110HOU,115.58,93,106.11,82,-9.0,224.0,home,home,-9.469999999999999,-11,221.69,175
202112100MIN,110.99,106,107.87,123,2.5,216.5,home,away,-3.1199999999999903,17,218.86,229
202201050WAS,116.6,111,112.34,114,-7.0,231.5,home,away,-4.259999999999991,3,228.94,225
202312080MIA,121.66,99,110.81,111,1.5,223.0,home,away,-10.849999999999994,12,232.47,210
202310280CLE,115.23,113,109.93,125,4.0,221.0,home,away,-5.299999999999997,12,225.16000000000003,238
202112180DET,110.21,107,113.59,116,1.5,220.5,away,away,3.3800000000000097,9,223.8,223
202312070MIL,128.04,119,122.44,128,-5.0,257.0,home,away,-5.599999999999994,9,250.48,247
202401010DEN,118.2,111,107.3,93,-17.0,224.5,home,home,-10.900000000000006,-18,225.5,204
202401030ATL,118.97,141,125.01,138,-1.0,249.0,away,home,6.040000000000006,-3,243.98000000000002,279
202312230IND,123.09,110,116.89,117,-2.5,245.0,home,away,-6.200000000000003,7,239.98000000000002,227
202303100MIA,108.35,119,111.91,115,-3.0,211.5,away,home,3.5600000000000023,-4,220.26,234
202211040BOS,105.86,123,108.76,119,-7.5,223.0,away,home,2.9000000000000057,-4,214.62,242
202301120LAL,118.52,115,116.22,119,2.5,236.5,home,away,-2.299999999999997,4,234.74,234
202201120SAS,118.57,124,110.46,128,-7.0,234.0,home,away,-8.11,4,229.02999999999997,252
202403020MIA,117.08,126,108.38,120,-9.0,223.5,home,home,-8.700000000000003,-6,225.45999999999998,246
202311200DET,112.37,103,115.44,107,9.5,225.5,away,away,3.069999999999993,4,227.81,210
202203090MIL,117.73,124,118.82,115,-2.5,241.5,away,home,1.0899999999999892,-9,236.55,239
202301230UTA,121.02,120,116.82,102,-9.0,236.5,home,home,-4.200000000000003,-18,237.83999999999997,222
202301200ORL,113.87,123,113.09,110,0.5,230.0,home,home,-0.7800000000000011,-13,226.96,233
202112280TOR,106.57,109,109.28,114,5.5,211.5,away,away,2.710000000000008,5,215.85,223
202112100ATL,112.87,105,108.88,113,-1.5,227.5,home,away,-3.990000000000009,8,221.75,218
202403250DEN,114.01,128,107.82,103,-12.5,214.5,home,home,-6.190000000000012,-25,221.82999999999998,231
202312220MIA,121.6,122,119.78,113,1.0,238.5,home,home,-1.8199999999999932,-9,241.38,235
202303170CHI,115.23,139,109.28,131,-2.5,220.5,home,home,-5.950000000000003,-8,224.51,270
202303050BRK,107.49,102,107.19,86,-8.0,230.0,home,home,-0.29999999999999716,-16,214.68,188
202401040SAS,115.21,121,124.16,125,11.0,248.0,away,away,8.950000000000003,4,239.37,246
202403080LAL,118.57,123,117.37,122,4.5,229.5,home,home,-1.1999999999999886,-1,235.94,245
202312230ATL,122.44,119,116.84,125,-1.5,237.0,home,away,-5.599999999999994,6,239.28,244
202402230HOU,117.52,114,115.97,110,3.0,235.0,home,home,-1.5499999999999972,-4,233.49,224
202202150ATL,112.25,124,108.85,116,-2.5,224.5,home,home,-3.4000000000000057,-8,221.1,240
