Team,gameID,WIN,HOME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,202310250CHI,0,1,39,94,.415,12,42,.286,14,18,.778,13,29,42,26,10,3,13,16,104,.510,.479,.447,.191,25.5,85.3,49.4,66.7,10.1,7.0,11.3,100.0,104.7,124.9
SAC,202310250UTA,1,0,47,102,.461,19,51,.373,17,20,.850,15,30,45,29,6,8,12,25,130,.587,.554,.500,.196,28.3,65.2,45.5,61.7,5.9,12.7,9.8,100.0,127.4,111.7
UTA,202310250UTA,0,1,41,91,.451,9,28,.321,23,31,.742,16,38,54,22,6,2,14,20,114,.545,.500,.308,.341,34.8,71.7,54.5,53.7,5.9,3.9,11.8,100.0,111.7,127.4
DAL,202310250SAS,1,0,47,99,.475,15,47,.319,17,23,.739,13,35,48,24,6,3,12,20,126,.577,.551,.475,.232,26.5,79.5,51.6,51.1,5.6,5.6,9.9,100.0,118.4,111.8
SAS,202310250SAS,0,1,46,89,.517,11,35,.314,16,22,.727,9,36,45,33,8,5,19,23,119,.603,.579,.393,.247,20.5,73.5,48.4,71.7,7.5,9.6,16.1,100.0,111.8,118.4
POR,202310250LAC,0,0,44,93,.473,10,32,.313,13,17,.765,15,25,40,20,10,4,18,20,111,.552,.527,.344,.183,32.6,64.1,47.1,45.5,10.1,7.1,15.2,100.0,111.8,123.9
LAC,202310250LAC,1,1,47,90,.522,16,34,.471,13,16,.813,14,31,45,36,11,7,18,20,123,.634,.611,.378,.178,35.9,67.4,52.9,76.6,11.1,11.5,15.6,100.0,123.9,111.8
PHI,202310260MIL,0,0,41,80,.513,16,35,.457,19,28,.679,4,35,39,25,8,4,15,28,117,.634,.613,.438,.350,10.3,81.4,47.6,61.0,7.9,7.8,14.0,100.0,115.1,116.1
MIL,202310260MIL,1,1,41,81,.506,11,30,.367,25,36,.694,8,35,43,20,9,4,14,23,118,.609,.574,.370,.444,18.6,89.7,52.4,48.8,8.9,8.9,12.6,100.0,116.1,115.1
PHO,202310260LAL,0,0,34,81,.420,9,31,.290,18,23,.783,10,39,49,16,7,3,24,21,95,.521,.475,.383,.284,22.7,83.0,53.8,47.1,6.8,5.5,20.8,100.0,92.4,97.3
LAL,202310260LAL,1,1,36,84,.429,5,29,.172,23,29,.793,8,34,42,24,14,7,16,23,100,.517,.458,.345,.345,17.0,77.3,46.2,66.7,13.6,14.0,14.2,100.0,97.3,92.4
DEN,202310270MEM,1,0,41,88,.466,14,37,.378,12,18,.667,6,34,40,27,11,10,19,18,108,.563,.545,.420,.205,14.6,72.3,45.5,65.9,10.6,19.2,16.5,100.0,103.7,99.9
MEM,202310270MEM,0,1,37,85,.435,10,33,.303,20,24,.833,13,35,48,22,13,7,21,23,104,.544,.494,.388,.282,27.7,85.4,54.5,59.5,12.5,13.7,18.0,100.0,99.9,103.7
DET,202310270CHO,1,0,40,88,.455,10,30,.333,21,25,.840,12,41,53,28,7,6,24,29,111,.561,.511,.341,.284,28.6,78.8,56.4,70.0,6.5,10.0,19.5,100.0,103.5,92.3
CHO,202310270CHO,0,1,33,88,.375,7,28,.250,26,34,.765,11,30,41,20,13,7,18,23,99,.481,.415,.318,.386,21.2,71.4,43.6,60.6,12.1,12.1,14.9,100.0,92.3,103.5
NYK,202310270ATL,1,0,43,90,.478,20,44,.455,20,28,.714,12,33,45,30,9,6,16,21,126,.616,.589,.489,.311,25.5,78.6,50.6,69.8,8.7,10.9,13.5,100.0,121.7,115.9
ATL,202310270ATL,0,1,42,87,.483,12,32,.375,24,30,.800,9,35,44,28,7,6,14,20,120,.599,.552,.368,.345,21.4,74.5,49.4,66.7,6.8,13.0,12.3,100.0,115.9,121.7
OKC,202310270CLE,1,0,40,87,.460,13,26,.500,15,19,.789,6,41,47,22,8,10,18,17,108,.566,.534,.299,.218,13.0,83.7,49.5,55.0,7.6,21.3,15.9,100.0,102.0,99.1
CLE,202310270CLE,0,1,38,92,.413,12,45,.267,17,23,.739,8,40,48,20,10,8,14,16,105,.514,.478,.489,.250,16.3,87.0,50.5,52.6,9.4,13.1,12.1,100.0,99.1,102.0
MIA,202310270BOS,0,0,38,89,.427,16,33,.485,19,23,.826,11,34,45,24,8,6,12,16,111,.560,.517,.371,.258,22.0,68.0,45.0,63.2,8.1,10.7,10.8,100.0,111.7,119.8
BOS,202310270BOS,1,1,45,95,.474,16,39,.410,13,19,.684,16,39,55,20,7,6,15,19,119,.576,.558,.411,.200,32.0,78.0,55.0,44.4,7.0,10.7,12.7,100.0,119.8,111.7
TOR,202310270CHI,0,0,39,84,.464,9,36,.250,16,25,.640,8,45,53,25,5,2,23,29,103,.542,.518,.429,.298,17.8,75.0,50.5,64.1,4.6,3.3,19.5,100.0,94.0,95.0
CHI,202310270CHI,1,1,37,99,.374,8,39,.205,22,28,.786,15,37,52,18,10,5,17,22,104,.467,.414,.394,.283,25.0,82.2,49.5,48.6,9.1,10.4,13.2,100.0,95.0,94.0
HOU,202310270SAS,0,0,52,100,.520,8,32,.250,10,20,.500,11,32,43,30,7,2,18,26,122,.561,.560,.320,.200,26.2,72.7,50.0,57.7,6.3,3.8,14.2,100.0,110.0,113.6
SAS,202310270SAS,1,1,46,94,.489,13,42,.310,21,28,.750,12,31,43,32,11,4,18,17,126,.593,.559,.447,.298,27.3,73.8,50.0,69.6,9.9,5.9,14.5,100.0,113.6,110.0
BRK,202310270DAL,0,0,45,92,.489,21,43,.488,9,10,.900,10,37,47,30,5,4,16,28,120,.622,.603,.467,.109,23.8,82.2,54.0,66.7,4.9,7.3,14.2,100.0,118.6,123.6
DAL,202310270DAL,1,1,44,91,.484,15,36,.417,22,28,.786,8,32,40,20,5,2,9,15,125,.605,.566,.396,.308,17.8,76.2,46.0,45.5,4.9,4.1,8.0,100.0,123.6,118.6
LAC,202310270UTA,0,0,41,77,.532,14,35,.400,22,28,.786,6,30,36,17,8,6,16,22,118,.661,.623,.455,.364,17.6,63.8,44.4,41.5,8.2,10.9,15.2,100.0,120.8,122.9
