Team,gameID,WIN,HOME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,202110200POR,0,1,45,93,0.484,12,35,0.343,19,22,0.864,9,40,49,25,5,5,13,22,121,0.589,0.548,0.376,0.237,20.0,85.1,53.3,55.6,4.8,9.8,11.2,100.0,115.2,118.0
DEN,202110200PHO,1,0,44,83,0.53,17,39,0.436,5,9,0.556,6,40,46,25,9,1,19,20,110,0.632,0.633,0.47,0.108,15.0,78.4,50.5,56.8,9.0,2.0,17.9,100.0,110.3,98.3
PHO,202110200PHO,0,1,36,87,0.414,14,37,0.378,12,17,0.706,11,34,45,23,9,3,18,18,98,0.519,0.494,0.425,0.195,21.6,85.0,49.5,63.9,9.0,6.8,16.0,100.0,98.3,110.3
DAL,202110210ATL,0,0,31,93,0.333,13,43,0.302,12,13,0.923,10,40,50,16,7,3,15,21,87,0.441,0.403,0.462,0.14,16.9,87.0,47.6,51.6,6.8,5.1,13.2,100.0,84.6,109.9
ATL,202110210ATL,1,1,45,94,0.479,15,35,0.429,8,9,0.889,6,49,55,31,8,9,13,16,113,0.577,0.559,0.372,0.096,13.0,83.1,52.4,68.9,7.8,18.0,11.7,100.0,109.9,84.6
MIL,202110210MIA,0,0,32,84,0.381,12,42,0.286,19,29,0.655,5,33,38,19,6,0,15,26,95,0.491,0.452,0.5,0.345,9.6,75.0,39.6,59.4,5.6,0.0,13.4,100.0,89.4,128.9
MIA,202110210MIA,1,1,51,96,0.531,15,35,0.429,20,31,0.645,11,47,58,28,8,2,11,26,137,0.625,0.609,0.365,0.323,25.0,90.4,60.4,54.9,7.5,4.8,9.1,100.0,128.9,89.4
LAC,202110210GSW,0,0,42,96,0.438,14,40,0.35,15,21,0.714,8,31,39,24,9,2,7,25,113,0.537,0.51,0.417,0.219,15.7,75.6,42.4,57.1,8.8,3.8,6.2,100.0,110.4,112.4
GSW,202110210GSW,1,1,43,83,0.518,15,31,0.484,14,22,0.636,10,43,53,27,5,4,21,20,115,0.62,0.608,0.373,0.265,24.4,84.3,57.6,62.8,4.9,7.1,18.5,100.0,112.4,110.4
NYK,202110220ORL,1,0,44,88,0.5,24,54,0.444,9,17,0.529,6,32,38,34,10,4,11,19,121,0.634,0.636,0.614,0.193,14.0,78.0,45.2,77.3,10.2,10.0,10.3,100.0,123.8,98.2
ORL,202110220ORL,0,1,33,83,0.398,17,43,0.395,13,15,0.867,9,37,46,24,5,3,19,18,96,0.536,0.5,0.518,0.181,22.0,86.0,54.8,72.7,5.1,8.8,17.5,100.0,98.2,123.8
IND,202110220WAS,0,0,52,97,0.536,15,34,0.441,15,20,0.75,7,35,42,28,5,6,12,22,134,0.633,0.613,0.351,0.206,17.9,85.4,52.5,53.8,4.7,10.7,10.2,100.0,126.5,127.4
WAS,202110220WAS,1,1,49,94,0.521,19,38,0.5,18,19,0.947,6,32,38,24,5,6,9,21,135,0.659,0.622,0.404,0.202,14.6,82.1,47.5,49.0,4.7,9.5,8.1,100.0,127.4,126.5
CHO,202110220CLE,1,0,48,91,0.527,13,32,0.406,14,17,0.824,11,35,46,32,13,1,18,16,123,0.624,0.599,0.352,0.187,27.5,83.3,56.1,66.7,12.6,1.9,15.5,100.0,118.9,108.3
CLE,202110220CLE,0,1,43,84,0.512,9,31,0.29,17,20,0.85,7,29,36,26,9,3,19,15,112,0.603,0.565,0.369,0.238,16.7,72.5,43.9,60.5,8.7,5.1,17.0,100.0,108.3,118.9
TOR,202110220BOS,1,0,42,100,0.42,10,35,0.286,21,21,1.0,21,39,60,22,16,2,12,13,115,0.526,0.47,0.35,0.21,39.6,79.6,58.8,52.4,16.3,4.2,9.9,100.0,117.2,84.6
BOS,202110220BOS,0,1,32,82,0.39,11,34,0.324,8,11,0.727,10,32,42,19,6,12,25,19,83,0.478,0.457,0.415,0.134,20.4,60.4,41.2,59.4,6.1,18.5,22.4,100.0,84.6,117.2
BRK,202110220PHI,1,0,41,88,0.466,12,38,0.316,20,24,0.833,11,36,47,26,6,6,13,16,114,0.578,0.534,0.432,0.273,26.8,87.8,57.3,63.4,6.1,10.9,11.7,100.0,116.2,111.1
PHI,202110220PHI,0,1,43,91,0.473,14,36,0.389,9,11,0.818,5,30,35,17,8,9,10,21,109,0.569,0.549,0.396,0.121,12.2,73.2,42.7,39.5,8.2,18.0,9.4,100.0,111.1,116.2
OKC,202110220HOU,0,0,34,91,0.374,14,43,0.326,9,16,0.563,8,31,39,22,9,4,19,21,91,0.464,0.451,0.473,0.176,15.4,75.6,41.9,64.7,8.5,7.0,16.2,100.0,85.7,116.8
HOU,202110220HOU,1,1,48,95,0.505,17,38,0.447,11,14,0.786,10,44,54,29,12,10,17,18,124,0.613,0.595,0.4,0.147,24.4,84.6,58.1,60.4,11.3,20.8,14.4,100.0,116.8,85.7
NOP,202110220CHI,0,0,42,87,0.483,15,29,0.517,13,16,0.813,9,33,42,26,7,5,17,20,112,0.595,0.569,0.333,0.184,20.5,75.0,47.7,61.9,6.9,8.2,15.3,100.0,110.7,126.5
